2026-07-22 22:53:05 | INFO     | devpilot.inspector.inspector | SystemInspector.analyze() called.
2026-07-22 22:53:05 | INFO     | devpilot.inspector.analyzer | Starting full system inspection.
2026-07-22 22:53:05 | DEBUG    | devpilot.inspector.analyzer | Running inspector: system
2026-07-22 22:53:05 | DEBUG    | devpilot.inspector.system | Collecting system information.
2026-07-22 22:53:05 | DEBUG    | devpilot.inspector.cpu | Initialising CPUInspector — fetching cpuinfo (may take a moment).
2026-07-22 22:53:07 | DEBUG    | devpilot.inspector.analyzer | Running inspector: cpu
2026-07-22 22:53:07 | DEBUG    | devpilot.inspector.cpu | Collecting CPU information.
2026-07-22 22:53:09 | DEBUG    | devpilot.inspector.analyzer | Running inspector: memory
2026-07-22 22:53:09 | DEBUG    | devpilot.inspector.memory | Collecting memory information.
2026-07-22 22:53:09 | DEBUG    | devpilot.inspector.analyzer | Running inspector: disk
2026-07-22 22:53:09 | DEBUG    | devpilot.inspector.disk | Collecting disk information.
2026-07-22 22:53:09 | DEBUG    | devpilot.inspector.analyzer | Running inspector: gpu
2026-07-22 22:53:09 | DEBUG    | devpilot.inspector.gpu | Collecting GPU information.
2026-07-22 22:53:09 | WARNING  | devpilot.inspector.gpu | GPUtil is not installed — GPU detection skipped.
2026-07-22 22:53:09 | DEBUG    | devpilot.inspector.analyzer | Running inspector: network
2026-07-22 22:53:09 | DEBUG    | devpilot.inspector.network | Collecting network information.
2026-07-22 22:53:09 | DEBUG    | devpilot.inspector.analyzer | Running inspector: software
2026-07-22 22:53:09 | DEBUG    | devpilot.inspector.software | Collecting installed software information.
2026-07-22 22:53:09 | DEBUG    | devpilot.inspector.utils | Running command: where git
2026-07-22 22:53:09 | DEBUG    | devpilot.inspector.utils | Running command: where git
2026-07-22 22:53:10 | DEBUG    | devpilot.inspector.utils | Running command: git --version
2026-07-22 22:53:10 | DEBUG    | devpilot.inspector.software | Found Git — version: git version 2.55.0.windows.2, path: C:\Program Files\Git\cmd\git.exe
2026-07-22 22:53:10 | DEBUG    | devpilot.inspector.utils | Running command: where python
2026-07-22 22:53:10 | DEBUG    | devpilot.inspector.utils | Running command: where python
2026-07-22 22:53:10 | DEBUG    | devpilot.inspector.utils | Running command: python --version
2026-07-22 22:53:10 | DEBUG    | devpilot.inspector.software | Found Python — version: Python 3.14.3, path: C:\Python314\python.exe
2026-07-22 22:53:10 | DEBUG    | devpilot.inspector.utils | Running command: where python3
2026-07-22 22:53:10 | DEBUG    | devpilot.inspector.utils | Running command: where python3
2026-07-22 22:53:10 | DEBUG    | devpilot.inspector.utils | Running command: python3 --version
2026-07-22 22:53:11 | DEBUG    | devpilot.inspector.software | Found Python 3 — version: Python 3.14.4, path: C:\Users\HP\AppData\Local\Python\bin\python3.exe
2026-07-22 22:53:11 | DEBUG    | devpilot.inspector.utils | Running command: where java
2026-07-22 22:53:11 | DEBUG    | devpilot.inspector.utils | Running command: where java
2026-07-22 22:53:11 | DEBUG    | devpilot.inspector.utils | Running command: java -version
2026-07-22 22:53:14 | DEBUG    | devpilot.inspector.software | Found Java — version: java version "25.0.1" 2025-10-21 LTS, path: C:\Program Files\Common Files\Oracle\Java\javapath\java.exe
2026-07-22 22:53:14 | DEBUG    | devpilot.inspector.utils | Running command: where node
2026-07-22 22:53:14 | DEBUG    | devpilot.inspector.utils | Running command: where node
2026-07-22 22:53:14 | DEBUG    | devpilot.inspector.utils | Running command: node --version
2026-07-22 22:53:20 | WARNING  | devpilot.inspector.utils | Command timed out after 5s: node --version
2026-07-22 22:53:20 | DEBUG    | devpilot.inspector.software | Found Node.js — version: None, path: C:\Nodejs\node.exe
2026-07-22 22:53:20 | DEBUG    | devpilot.inspector.utils | Running command: where npm
2026-07-22 22:53:20 | DEBUG    | devpilot.inspector.utils | Running command: where npm
2026-07-22 22:53:20 | DEBUG    | devpilot.inspector.utils | Running command: npm --version
2026-07-22 22:53:20 | DEBUG    | devpilot.inspector.software | Found npm — version: 11.16.0, path: C:\Nodejs\npm
2026-07-22 22:53:20 | DEBUG    | devpilot.inspector.utils | Running command: where docker
2026-07-22 22:53:20 | DEBUG    | devpilot.inspector.software | Not found on PATH: docker
2026-07-22 22:53:20 | DEBUG    | devpilot.inspector.utils | Running command: where code
2026-07-22 22:53:21 | DEBUG    | devpilot.inspector.utils | Running command: where code
2026-07-22 22:53:21 | DEBUG    | devpilot.inspector.utils | Running command: code --version
2026-07-22 22:53:21 | DEBUG    | devpilot.inspector.software | Found Visual Studio Code — version: 1.129.1, path: C:\Users\HP\AppData\Local\Programs\Microsoft VS Code\bin\code
2026-07-22 22:53:21 | DEBUG    | devpilot.inspector.utils | Running command: where postman
2026-07-22 22:53:21 | DEBUG    | devpilot.inspector.software | Not found on PATH: postman
2026-07-22 22:53:21 | DEBUG    | devpilot.inspector.utils | Running command: where mysql
2026-07-22 22:53:21 | DEBUG    | devpilot.inspector.software | Not found on PATH: mysql
2026-07-22 22:53:21 | DEBUG    | devpilot.inspector.utils | Running command: where psql
2026-07-22 22:53:21 | DEBUG    | devpilot.inspector.software | Not found on PATH: psql
2026-07-22 22:53:21 | DEBUG    | devpilot.inspector.utils | Running command: where mongod
2026-07-22 22:53:22 | DEBUG    | devpilot.inspector.software | Not found on PATH: mongod
2026-07-22 22:53:22 | DEBUG    | devpilot.inspector.utils | Running command: where redis-server
2026-07-22 22:53:22 | DEBUG    | devpilot.inspector.software | Not found on PATH: redis-server
2026-07-22 22:53:22 | DEBUG    | devpilot.inspector.utils | Running command: where kubectl
2026-07-22 22:53:22 | DEBUG    | devpilot.inspector.software | Not found on PATH: kubectl
2026-07-22 22:53:22 | DEBUG    | devpilot.inspector.utils | Running command: where terraform
2026-07-22 22:53:22 | DEBUG    | devpilot.inspector.software | Not found on PATH: terraform
2026-07-22 22:53:22 | DEBUG    | devpilot.inspector.utils | Running command: where ansible
2026-07-22 22:53:22 | DEBUG    | devpilot.inspector.software | Not found on PATH: ansible
2026-07-22 22:53:22 | DEBUG    | devpilot.inspector.utils | Running command: where rustc
2026-07-22 22:53:22 | DEBUG    | devpilot.inspector.software | Not found on PATH: rustc
2026-07-22 22:53:22 | DEBUG    | devpilot.inspector.utils | Running command: where cargo
2026-07-22 22:53:22 | DEBUG    | devpilot.inspector.software | Not found on PATH: cargo
2026-07-22 22:53:22 | DEBUG    | devpilot.inspector.utils | Running command: where go
2026-07-22 22:53:22 | DEBUG    | devpilot.inspector.software | Not found on PATH: go
2026-07-22 22:53:22 | DEBUG    | devpilot.inspector.utils | Running command: where dotnet
2026-07-22 22:53:22 | DEBUG    | devpilot.inspector.software | Not found on PATH: dotnet
2026-07-22 22:53:22 | DEBUG    | devpilot.inspector.analyzer | Running inspector: package_managers
2026-07-22 22:53:22 | DEBUG    | devpilot.inspector.package_managers | Collecting installed package managers.
2026-07-22 22:53:22 | DEBUG    | devpilot.inspector.utils | Running command: where winget
2026-07-22 22:53:22 | DEBUG    | devpilot.inspector.package_managers | Package manager not found: winget
2026-07-22 22:53:22 | DEBUG    | devpilot.inspector.utils | Running command: where choco
2026-07-22 22:53:23 | DEBUG    | devpilot.inspector.utils | Running command: where choco
2026-07-22 22:53:23 | DEBUG    | devpilot.inspector.utils | Running command: choco --version
2026-07-22 22:53:24 | DEBUG    | devpilot.inspector.package_managers | Found choco — version: 2.6.0, path: C:\ProgramData\chocolatey\bin\choco.exe
2026-07-22 22:53:24 | DEBUG    | devpilot.inspector.utils | Running command: where scoop
2026-07-22 22:53:24 | DEBUG    | devpilot.inspector.package_managers | Package manager not found: scoop
2026-07-22 22:53:24 | DEBUG    | devpilot.inspector.utils | Running command: where pip
2026-07-22 22:53:24 | DEBUG    | devpilot.inspector.utils | Running command: where pip
2026-07-22 22:53:25 | DEBUG    | devpilot.inspector.utils | Running command: pip --version
2026-07-22 22:53:26 | DEBUG    | devpilot.inspector.package_managers | Found pip — version: pip 26.1.2 from C:\Users\HP\AppData\Roaming\Python\Python314\site-packages\pip (python 3.14), path: C:\Python314\Scripts\pip.exe
2026-07-22 22:53:26 | DEBUG    | devpilot.inspector.utils | Running command: where npm
2026-07-22 22:53:26 | DEBUG    | devpilot.inspector.utils | Running command: where npm
2026-07-22 22:53:26 | DEBUG    | devpilot.inspector.utils | Running command: npm --version
2026-07-22 22:53:27 | DEBUG    | devpilot.inspector.package_managers | Found npm — version: 11.16.0, path: C:\Nodejs\npm
2026-07-22 22:53:27 | DEBUG    | devpilot.inspector.utils | Running command: where yarn
2026-07-22 22:53:27 | DEBUG    | devpilot.inspector.package_managers | Package manager not found: yarn
2026-07-22 22:53:27 | DEBUG    | devpilot.inspector.utils | Running command: where cargo
2026-07-22 22:53:27 | DEBUG    | devpilot.inspector.package_managers | Package manager not found: cargo
2026-07-22 22:53:27 | DEBUG    | devpilot.inspector.utils | Running command: where gem
2026-07-22 22:53:27 | DEBUG    | devpilot.inspector.package_managers | Package manager not found: gem
2026-07-22 22:53:27 | DEBUG    | devpilot.inspector.utils | Running command: where go
